codebase,audio,WER,substitutions,deletions,insertions,hits,N_ref,substitution_rate,deletion_rate,insertion_rate,hit_rate
3,85_NA_Recording1-LR_2244-2544_CT.wav,0.6205962059620597,95,41,93,233,369,0.25745257452574527,0.1111111111111111,0.25203252032520324,0.6314363143631436
3,40_JC_Recording1-LR_2962-3262_CT.wav,0.27539503386004516,53,62,7,328,443,0.11963882618510158,0.1399548532731377,0.01580135440180587,0.7404063205417607
3,Ethan_020208_first5.wav,0.5,54,161,8,231,446,0.1210762331838565,0.3609865470852018,0.017937219730941704,0.5179372197309418
3,Lily_040002_first5.wav,0.175990675990676,77,53,21,728,858,0.08974358974358974,0.06177156177156177,0.024475524475524476,0.8484848484848485
3,Lily_030725_first5.wav,0.45396825396825397,59,71,13,185,315,0.1873015873015873,0.2253968253968254,0.04126984126984127,0.5873015873015873
3,85_NA_Recording1-LR_3144-3444_CT.wav,0.3648293963254593,47,74,18,260,381,0.12335958005249344,0.1942257217847769,0.047244094488188976,0.6824146981627297
1,40_JC_Recording1-LR_2962-3262_CT.wav,0.34085778781038373,85,52,14,306,443,0.19187358916478556,0.11738148984198646,0.03160270880361174,0.690744920993228
1,Ethan_020208_first5.wav,1.4237668161434978,325,18,292,103,446,0.7286995515695067,0.04035874439461883,0.6547085201793722,0.23094170403587444
1,40_JC_Recording2-LR_22826-23126_CT.wav,0.35667396061269147,72,30,61,355,457,0.1575492341356674,0.06564551422319474,0.13347921225382933,0.7768052516411379
1,Ethan_021005_first5.wav,0.573469387755102,173,69,39,248,490,0.35306122448979593,0.14081632653061224,0.07959183673469387,0.5061224489795918
1,Lily_040002_first5.wav,0.19230769230769232,100,36,29,722,858,0.11655011655011654,0.04195804195804196,0.0337995337995338,0.8414918414918415
1,William_011115_first5.wav,0.5294117647058824,53,176,14,230,459,0.11546840958605664,0.38344226579520696,0.030501089324618737,0.5010893246187363
1,Naima_020720_first5.wav,0.6653386454183267,81,45,208,376,502,0.16135458167330677,0.08964143426294821,0.41434262948207173,0.749003984063745
1,85_NA_Recording1-LR_2244-2544_CT.wav,0.5853658536585366,129,27,60,213,369,0.34959349593495936,0.07317073170731707,0.16260162601626016,0.5772357723577236
1,85_NA_Recording1-LR_9444-9744_CT.wav,0.29711375212224106,86,45,44,458,589,0.1460101867572156,0.07640067911714771,0.07470288624787776,0.7775891341256367
1,Lily_030725_first5.wav,2.6444444444444444,147,19,667,149,315,0.4666666666666667,0.06031746031746032,2.1174603174603175,0.473015873015873
